Mutant_Experiment_Sample_gene	Forebrain	Optic Tectum	Thalamus	Hypothalamus	Cerebellum	Hindbrain	Habenula	Posterior Tuberculum	Mutant_Experiment_Sample	Mutant_Experiment_Sample_gene_idx
CNTNAP2	0.52937895	0.55918902	0.78218448	0.26984325	0.86945879	1.1970578432083101	0.53828603	0.8559227	CNTNAP2_exp2_het_9	exp2_het_9
CNTNAP2	0.81139541	0.5986923	0.93349618	0.27110136	0.70669061	0.79302936792373602	0.58690929	0.88483155	CNTNAP2_exp2_het_10	exp2_het_10
CNTNAP2	0.65974462	0.73073989	1.22000444	0.22760758	0.97906828	1.07403123378753	0.59060091	1.07934833	CNTNAP2_exp2_hom_1	exp2_hom_1
CNTNAP2	0.68662959	0.87784123	1.2420404	0.33960679	0.91908032	1.12750244140625	0.64908534	1.32253218	CNTNAP2_exp2_hom_2	exp2_hom_2
CNTNAP2	1.04946005	0.95744169	1.8889575	0.51800436	1.08447862	1.3813545703887899	0.78138936	1.91105199	CNTNAP2_exp2_hom_3	exp2_hom_3
CNTNAP2	0.75625658	0.81537098	1.61505306	0.882604	1.07302856	1.4834786653518599	0.74797976	1.6637907	CNTNAP2_exp2_hom_4	exp2_hom_4
CNTNAP2	1.11394978	1.0836165	1.69511461	0.53949535	1.13877857	1.37395572662353	0.90455019	1.79549491	CNTNAP2_exp2_hom_5	exp2_hom_5
CNTNAP2	0.79795378	0.94294554	1.18310153	0.38459283	1.04474664	1.1888967752456601	0.65388256	1.28640389	CNTNAP2_exp2_hom_6	exp2_hom_6
CNTNAP2	0.98364544	1.20679092	1.85593712	0.57283491	1.52905142	1.4700725078582699	0.89159524	2.04068732	CNTNAP2_exp2_hom_7	exp2_hom_7
CNTNAP2	0.82863319	0.69658929	0.947303	0.25454569	1.05958486	1.02006518840789	0.56334096	0.95298457	CNTNAP2_exp2_hom_8	exp2_hom_8
CNTNAP2	0.50207484	0.56554836	1.48434114	0.68601167	0.90905988	1.0729963779449401	0.50266778	1.57646906	CNTNAP2_exp2_hom_9	exp2_hom_9
CNTNAP2	0.89643049	1.10117936	1.69628549	0.65954465	1.14272356	1.5686781406402499	0.8242678	1.92736721	CNTNAP2_exp2_hom_10	exp2_hom_10
CNTNAP2	1.04889774	0.89439541	1.43328142	0.44581527	0.97893071	1.0144969224929801	0.68902975	1.61746716	CNTNAP2_exp2_wt_1	exp2_wt_1
CNTNAP2	0.83823609	0.75849539	1.06747496	0.51768011	0.95492649	1.6242659091949401	0.63533849	1.38921022	CNTNAP2_exp2_wt_2	exp2_wt_2
CNTNAP2	0.74592274	0.74076372	1.24661493	0.3066788	0.92652458	1.07563936710357	0.61846048	1.28843498	CNTNAP2_exp2_wt_3	exp2_wt_3
CNTNAP2	0.95235068	0.78676456	1.26904356	0.22331598	0.91997218	0.63153713941574097	0.63264894	0.95365524	CNTNAP2_exp2_wt_4	exp2_wt_4
CNTNAP2	0.51986915	0.44367507	0.57792586	0.13433371	0.63188821	0.748457491397857	0.41150516	0.6447835	CNTNAP2_exp2_wt_5	exp2_wt_5
CNTNAP2	0.85768592	0.70512885	1.31814682	0.34246823	0.89306587	1.0632951259612999	0.68205959	1.25279951	CNTNAP2_exp2_wt_6	exp2_wt_6
CNTNAP2	0.73409539	0.81418622	0.96647805	0.21734898	1.04858375	1.1401884555816599	0.69657725	0.81018758	CNTNAP2_exp2_wt_7	exp2_wt_7
CNTNAP2	0.48903805	0.62469906	1.15908873	0.25384536	0.5525943	0.73251873254776001	0.45573896	1.24121702	CNTNAP2_exp2_wt_8	exp2_wt_8
CNTNAP2	0.72323173	0.59822613	0.88895565	0.19182378	0.84440374	0.68928730487823398	0.5015195	0.8062942	CNTNAP2_exp2_wt_9	exp2_wt_9
CNTNAP2	1.04626346	0.74004626	1.23228037	0.3931056	1.1606009	1.1406390666961601	0.84041381	1.45950758	CNTNAP2_exp2_wt_10	exp2_wt_10
CNTNAP2	0.55241138	0.41542837	0.43587151	0.16512091	0.56855035	0.41518256068229598	0.49201292	0.5129593	CNTNAP2_exp3_het_1	exp3_het_1
CNTNAP2	0.71028751	0.48342106	0.58453345	0.1338015	0.50560212	0.29840752482414201	0.49809456	0.58079022	CNTNAP2_exp3_het_2	exp3_het_2
CNTNAP2	0.54974359	0.42386937	0.49615315	0.12501152	0.44313002	0.360845386981964	0.46094131	0.49355084	CNTNAP2_exp3_het_3	exp3_het_3
CNTNAP2	0.55066496	0.48673731	0.67351949	0.20702727	0.51170605	0.49824067950248702	0.43604609	0.70566314	CNTNAP2_exp3_het_4	exp3_het_4
CNTNAP2	0.79138136	0.57358003	0.84030229	0.30037847	0.60282212	0.62939602136611905	0.57128543	0.88787687	CNTNAP2_exp3_het_5	exp3_het_5
CNTNAP2	0.76048976	0.48359671	0.6878975	0.2350108	0.6521951	0.70042711496353105	0.48401034	0.73437417	CNTNAP2_exp3_het_6	exp3_het_6
CNTNAP2	0.52274114	0.47579807	0.62462044	0.23897192	0.57869017	0.47176274657249401	0.45231271	0.62508905	CNTNAP2_exp3_het_7	exp3_het_7
CNTNAP2	0.495657	0.43531603	0.61956859	0.19372892	0.45869532	0.42672434449195801	0.38589606	0.59711665	CNTNAP2_exp3_het_8	exp3_het_8
CNTNAP2	0.64440221	0.42703256	0.60585916	0.21248019	0.53443199	0.45600876212120001	0.45405427	0.64136326	CNTNAP2_exp3_het_9	exp3_het_9
CNTNAP2	0.72175139	0.53866929	0.74947137	0.41834858	0.72612798	0.79714429378509499	0.59541309	0.7447651	CNTNAP2_exp3_het_10	exp3_het_10
CNTNAP2	0.30355242	0.47425139	0.58803117	0.29152125	0.56493366	0.41852259635925199	0.36196917	0.53782225	CNTNAP2_exp3_hom_1	exp3_hom_1
CNTNAP2	0.36476719	0.34208959	0.44324693	0.10906841	0.47281295	0.34634831547737099	0.36936525	0.37845591	CNTNAP2_exp3_hom_2	exp3_hom_2
CNTNAP2	0.53229433	0.31269428	0.5055719	0.14373849	0.28730389	0.28873872756958002	0.35672504	0.49768764	CNTNAP2_exp3_hom_3	exp3_hom_3
