perturbation_gene	Gene	PValue	padj	logFC	logCPM	LR	cell type	perturbation	perturbation_gene_idx	Gene_raw	_Gene_resolution
Foxg1	Tgfb2	0.000487711	0.02318863	1.734479857	6.022068658	12.162073	Excit_L6CT_CTX	Foxg1_1	1	Tgfb2	passed_through
Foxg1	Kcnh1	1.12E-05	0.001175236	1.870245306	5.443627279	19.29041186	Excit_L6CT_CTX	Foxg1_1	1	Kcnh1	passed_through
Foxg1	C1ql3	7.33E-08	1.61E-05	6.357232829	4.291140225	28.97546865	Excit_L6CT_CTX	Foxg1_1	1	C1ql3	passed_through
Foxg1	Plxdc2	0.001167475	0.043649869	1.100296709	5.823533836	10.54112296	Excit_L6CT_CTX	Foxg1_1	1	Plxdc2	passed_through
Foxg1	Nebl	1.17E-11	5.81E-09	4.016321496	5.768508424	46.02914423	Excit_L6CT_CTX	Foxg1_1	1	Nebl	passed_through
Foxg1	Etl4	0.00083557	0.033512772	-0.404306742	7.292559418	11.16050935	Excit_L6CT_CTX	Foxg1_1	1	Etl4	passed_through
Foxg1	Fam163b	4.94E-05	0.004074529	-0.677032658	7.104098046	16.47137301	Excit_L6CT_CTX	Foxg1_1	1	Fam163b	passed_through
Foxg1	Col5a1	3.83E-07	7.13E-05	-4.297669914	4.902708729	25.77622585	Excit_L6CT_CTX	Foxg1_1	1	Col5a1	passed_through
Foxg1	Fnbp1	0.000655087	0.028418022	-0.947537986	6.284214933	11.6125382	Excit_L6CT_CTX	Foxg1_1	1	Fnbp1	passed_through
Foxg1	Garnl3	0.00026592	0.014921457	-0.380118441	7.601539441	13.29637435	Excit_L6CT_CTX	Foxg1_1	1	Garnl3	passed_through
Foxg1	Lhx2	2.01E-07	3.86E-05	4.308908507	5.278417062	27.02153733	Excit_L6CT_CTX	Foxg1_1	1	Lhx2	passed_through
Foxg1	Galnt13	0.000157048	0.009930666	0.976373062	6.501705712	14.28577108	Excit_L6CT_CTX	Foxg1_1	1	Galnt13	passed_through
Foxg1	Scn1a	0.000130557	0.00874383	1.057457671	6.290460735	14.63372297	Excit_L6CT_CTX	Foxg1_1	1	Scn1a	passed_through
Foxg1	Ube2e3	0.000400273	0.020024905	0.393873035	7.423039527	12.53091826	Excit_L6CT_CTX	Foxg1_1	1	Ube2e3	passed_through
Foxg1	Pde1a	5.82E-09	1.61E-06	1.586489038	7.038634121	33.89244885	Excit_L6CT_CTX	Foxg1_1	1	Pde1a	passed_through
Foxg1	Zfp804a	8.75E-06	0.000986074	-0.676479673	7.140870131	19.76601787	Excit_L6CT_CTX	Foxg1_1	1	Zfp804a	passed_through
Foxg1	Trp53i11	3.65E-09	1.11E-06	-2.262361196	5.800729049	34.79946437	Excit_L6CT_CTX	Foxg1_1	1	Trp53i11	passed_through
Foxg1	Tspan18	5.11E-05	0.004087169	-2.6253651	4.626458552	16.4074479	Excit_L6CT_CTX	Foxg1_1	1	Tspan18	passed_through
Foxg1	Slc1a2	5.59E-06	0.000669493	-0.720606498	7.244052947	20.62389671	Excit_L6CT_CTX	Foxg1_1	1	Slc1a2	passed_through
Foxg1	Cd44	0.000563285	0.025702693	-4.120605277	4.277497371	11.89355695	Excit_L6CT_CTX	Foxg1_1	1	Cd44	passed_through
Foxg1	Ryr3	0.00021361	0.012551628	-0.654752951	6.982511505	13.70740631	Excit_L6CT_CTX	Foxg1_1	1	Ryr3	passed_through
Foxg1	Gjd2	0.000748722	0.031403462	1.615539858	5.62960456	11.36422812	Excit_L6CT_CTX	Foxg1_1	1	Gjd2	passed_through
Foxg1	Gjd2os	0.001393929	0.049611921	1.448042399	5.617347826	10.21381021	Excit_L6CT_CTX	Foxg1_1	1	A530058N18Rik	passed_through
Foxg1	Ndufaf1	0.001328819	0.048542814	-1.561495802	5.569922984	10.3020583	Excit_L6CT_CTX	Foxg1_1	1	Ndufaf1	passed_through
Foxg1	Fbn1	0.000120741	0.008174289	2.666011136	4.504754798	14.78107962	Excit_L6CT_CTX	Foxg1_1	1	Fbn1	passed_through
Foxg1	Tmem87b	0.000186385	0.011270849	-1.348276843	6.167592222	13.96359648	Excit_L6CT_CTX	Foxg1_1	1	Tmem87b	passed_through
Foxg1	Fbln7	0.000725358	0.030733974	3.300273564	4.04564865	11.42311885	Excit_L6CT_CTX	Foxg1_1	1	Fbln7	passed_through
Foxg1	Plcb4	4.98E-06	0.000608757	0.600803465	7.305319261	20.84458001	Excit_L6CT_CTX	Foxg1_1	1	Plcb4	passed_through
Foxg1	Pak5	0.000405461	0.020122811	-0.342967731	7.624457419	12.5068584	Excit_L6CT_CTX	Foxg1_1	1	Pak7	passed_through
